target,label,n_train,n_test,MAE,RMSE,R2
det_duration_days,Срок проекта,1272,318,15.61480159604594,28.664643301564617,0.3309754341453618
schedule_risk_ratio,Относительный резерв,1272,318,0.08587479442064834,0.16185764497997443,0.0077423541562483544
