project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
68dd49ac-b792-4924-99be-2aef54384b8b,13,3,12,37,32,38,45,0.1842,1,2,2.0,True,
c820bd5a-fe0e-4c8f-82bc-9e40d8b4924a,13,3,12,31,27,32,38,0.1875,1,2,2.0,True,
7fd6a0a4-c538-45a4-8c5b-04951cc34e80,13,2,12,30,25,30,37,0.2333,0,3,2.0,True,
94b1b982-0af6-40c0-86f1-86793cac58e3,13,3,12,30,25,31,37,0.1935,1,3,2.0,True,
65889953-ecb7-4df3-8128-41f7d6c81baf,13,3,12,32,27,33,40,0.2121,1,2,2.0,True,
f9ada271-7010-4c26-b757-599f68520b2b,13,4,12,30,25,31,38,0.2258,1,2,2.0,True,
c437ace3-ef89-4251-90fe-0db35ee43737,13,2,12,36,31,37,44,0.1892,1,2,2.0,True,
b192758a-823e-411d-8d53-f8d7559354b2,13,2,12,34,29,35,42,0.2,1,2,2.0,True,
3b8eeaa8-5fa6-490f-9ecb-eb3801ec4f1b,13,2,12,31,27,32,39,0.2188,1,2,2.0,True,
50abbfd0-0eee-424a-97a9-ffaaacd5c17f,13,2,12,30,25,31,37,0.1935,1,2,2.0,True,
5949ddc0-603a-4b6b-ae87-3e5f1dbaf52e,13,3,12,36,31,37,44,0.1892,1,2,2.0,True,
a7426108-8ec7-40cd-8e4b-0041a7de0adb,13,4,12,30,25,31,37,0.1935,1,3,2.0,True,
a2a7a260-696c-468b-a588-20ef6591a54b,9,2,7,8,7,8,10,0.25,0,2,2.0,True,
ef14d5e3-5647-42a4-9076-f2bf52ff4274,11,4,7,9,8,9,11,0.2222,0,2,2.0,True,
f182eba5-3b95-49df-9814-4f464ccca2be,22,10,15,116,102,118,139,0.178,2,2,1.9917,True,
e8650d06-2f59-4228-8ffe-0d6405f1ab01,3,1,2,9,8,9,11,0.2222,0,2,1.0,True,
cc5d8b91-84ab-4da5-9d63-8230dac61fcf,9,7,5,32,27,33,41,0.2424,1,1,0.8918,True,
2fb15aed-9c72-404d-9755-874479aca014,3,1,1,1,1,1,2,1.0,0,2,1.0,True,
74c59d67-b18b-43c6-a9fb-dddaafc52328,5,1,2,1,1,1,1,0.0,0,4,1.0,True,
d59f044c-005d-44a7-b38e-0bda85192612,6,1,4,1,1,1,1,0.0,0,2,1.0,True,
cc8996c8-f865-48d3-a857-b3ac5e7bf6ef,6,1,3,1,1,1,1,0.0,0,2,1.0,True,
e24d9f15-2bfe-4c3c-8a23-1ecfc349ceb6,6,1,4,3,3,3,4,0.3333,0,2,1.0,True,
abe41fcb-1a8b-4645-8813-dec1f19fc706,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
b0aaf8da-5d6f-4e71-9ff2-72a8cd0e803d,5,1,3,2,2,2,2,0.0,0,2,1.0,True,
4ca9ffb1-eb69-4774-b678-ff876dcba8b5,4,1,2,1,1,1,1,0.0,0,4,1.0,True,
bc869fe9-7bf0-4083-852d-edc7a8536551,6,1,4,1,1,1,1,0.0,0,3,1.0,True,
e37c45e8-09aa-472b-904a-be2025e6a574,3,1,2,1,1,1,1,0.0,0,2,1.0,True,
a2e035f9-757a-4074-9ae9-1c3d19455f4c,6,2,3,1,1,1,1,0.0,0,5,1.0,True,
5fa613d7-7aad-4658-86dc-4598440a0877,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
296c5dd4-f5a8-4465-b299-c0a2fc592219,6,1,4,2,2,2,3,0.5,0,2,1.0,True,
7b56d6f6-1806-45b0-bc9d-feeb7bc6e9ee,8,2,6,5,4,5,6,0.2,0,2,1.0,True,
0d699861-6aa9-4d1a-a492-5c0c0190ec37,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
fb99c032-3db7-4d47-b580-12e685f8c5ad,6,1,3,2,2,3,3,0.0,1,2,1.0,True,
4e3bf58a-090a-49b8-904d-ec415475cf9c,5,1,3,1,1,1,1,0.0,0,2,1.0,True,
504668f7-a48b-43e5-b2d4-6cbd610a35e5,4,2,2,1,1,1,1,0.0,0,4,1.0,True,
e3f5b0fe-d2c5-4b2c-a900-c15a77b34384,6,1,4,2,2,2,2,0.0,0,2,1.0,True,
2abde31d-0141-45e7-9ba6-5315f334f061,3,1,2,1,1,1,1,0.0,0,3,1.0,True,
d33c7fb7-0f20-482f-a317-497d2517dbd8,9,2,6,1,1,1,2,1.0,0,2,1.0,True,
de54089d-81a4-4580-99ec-fd633b59da6a,5,2,2,1,1,1,1,0.0,0,4,1.0,True,
cef8f73f-8007-4410-877a-7099821cf7df,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
99d1bdad-01bd-4533-9059-b4df846c3ea0,7,3,4,2,1,2,2,0.0,0,2,1.0,True,
1c77ef02-f6f7-4c5d-8ab1-99372ab4b0eb,3,1,2,1,1,1,1,0.0,0,2,1.0,True,
7bb45d34-ae22-455f-b2ee-3775f9db293c,7,1,4,3,3,3,3,0.0,0,4,2.0,True,
